,Lightning_Warnings,Abs_Efield
110,0,26.67354
111,0,24.16308
112,0,25.73211
113,0,32.32205
114,0,34.51869
115,0,63.38888
116,0,67.77311
117,0,74.0466
118,0,73.09474
119,0,73.71973
120,0,95.67858
121,0,93.16898
122,0,69.32776
123,0,70.89626
124,0,51.75738
125,0,42.96997
126,0,46.73343
127,0,41.40141
128,0,53.00636
129,0,46.41977
130,0,44.53789
131,0,48.92895
132,0,40.77412
133,0,40.77412
134,0,55.20189
135,0,72.76613
136,0,40.46048
137,0,40.77412
138,0,34.81483
139,0,36.69671
140,0,36.38306
141,0,41.40142
142,0,49.55624
143,0,48.92762
144,0,36.3795
145,0,39.20119
146,0,37.00556
147,0,34.81167
148,0,36.38024
149,0,37.94756
150,0,45.16136
151,0,42.6512
152,0,37.94831
153,0,35.12452
154,0,44.53356
155,0,42.33895
156,0,37.00865
157,0,39.51875
158,0,34.8147
159,0,38.26493
160,0,41.08775
161,0,47.67434
162,0,55.20186
163,0,53.00634
164,0,66.8068
165,0,65.8734
166,0,72.15082
167,0,77.48391
168,0,72.46471
169,0,68.07291
170,0,67.44551
171,0,67.44551
172,0,63.68111
173,0,62.42632
174,0,61.1741
175,0,59.92318
176,0,52.08234
177,0,55.53428
178,0,58.98416
179,0,52.08296
180,0,45.80797
181,0,40.47417
182,0,36.39538
183,0,37.02288
184,0,38.27776
185,0,43.92545
186,0,41.41615
187,0,37.33747
188,0,42.67348
189,0,40.79226
190,0,36.714
191,0,41.42125
192,0,37.97009
193,0,35.14628
194,0,32.32205
195,0,29.8116
196,0,26.35973
197,0,24.7907
198,0,30.43921
199,0,28.55637
200,0,33.26347
201,0,27.92876
202,0,24.47689
203,0,26.35973
204,0,35.14631
205,0,33.89108
206,0,48.95378
207,0,57.74036
208,0,70.60642
209,0,58.98794
210,0,92.55741
211,0,89.40659
212,0,80.62142
213,0,76.22917
214,0,74.97436
215,0,82.50318
216,0,80.62097
217,0,74.97436
218,0,62.74006
219,0,75.28423
220,0,59.90753
221,0,59.27935
222,0,57.39742
223,0,44.53789
224,0,47.67436
225,0,42.65601
226,0,38.57859
227,0,40.77412
228,0,43.2833
229,0,37.63765
230,0,44.85154
231,0,34.50118
232,0,33.24659
233,0,35.12848
234,0,31.992
235,0,28.85553
236,0,28.54189
237,0,27.9142
238,0,24.15015
239,0,9.722397
240,0,26.65629
241,0,23.83436
242,0,28.53986
243,0,23.52046
244,0,27.28351
245,0,21.6386
246,0,21.01134
247,0,25.08843
248,0,27.59889
249,0,16.62189
250,0,20.38427
251,0,26.9703
252,0,24.46142
253,0,29.79417
254,0,30.42281
255,0,34.18746
256,0,38.89223
257,0,36.0694
258,0,42.0287
259,0,45.16516
260,0,54.88822
261,0,61.47689
262,0,65.87396
263,0,58.97544
264,0,61.48522
265,0,58.97561
266,0,58.97561
267,0,56.15231
268,0,61.79892
269,0,62.11262
270,0,57.40711
271,0,51.13311
272,0,47.3687
273,0,53.01531
274,0,53.01531
275,0,49.25258
276,0,53.0176
277,0,48.31108
278,0,41.72527
279,0,36.70479
280,0,34.50878
281,0,31.05791
282,0,30.42991
283,0,33.5677
284,0,29.17699
285,0,23.52988
286,0,45.49097
287,0,23.84418
288,0,26.35495
289,0,30.12018
290,0,31.06262
291,0,32.63503
292,0,32.63581
293,0,30.75302
294,0,32.63586
295,0,30.75192
296,0,31.37738
297,0,31.3775
298,0,30.43849
299,0,28.24253
300,0,28.87018
301,0,34.20489
302,0,48.32617
303,0,43.61908
304,0,57.42655
305,0,43.93288
306,0,51.77212
307,0,55.22079
308,0,54.27873
309,0,59.60977
310,0,63.68974
311,0,68.07394
312,0,53.64277
313,0,52.07424
314,0,46.42764
315,0,43.91684
316,0,46.42349
317,0,39.52242
318,0,50.18373
319,0,50.18354
320,0,51.43812
321,0,57.08377
322,0,50.18354
323,0,53.63365
324,0,47.04706
325,0,50.81083
326,0,40.14683
327,0,38.89224
328,0,36.38306
329,0,36.69671
330,0,44.22424
331,0,34.81483
332,0,39.51954
333,0,39.51954
334,0,41.40142
335,0,42.65601
336,0,58.33709
337,1,1223.849
338,1,1375.969
339,1,1951.511
340,1,1249.883
341,1,297.3554
342,1,1064.198
343,1,48.01165
344,1,161.6102
345,1,158.7743
346,1,26.35542
347,1,39.84669
348,1,33.25464
349,1,9.411859
350,1,168.7782
351,1,1191.127
352,1,103.8429
353,1,361.1077
354,1,81.88801
355,1,179.4715
356,1,1345.376
357,1,131.7764
