Date,RH,warnings
2022-02-01 10:15:00,61.43705,0.0
2022-02-01 10:30:00,60.15868,0.0
2022-02-01 10:45:00,61.79601,0.0
2022-02-01 11:00:00,57.57396,0.0
2022-02-01 11:15:00,54.12215,0.0
2022-02-01 11:30:00,57.50506,0.0
2022-02-01 11:45:00,53.5959,0.0
2022-02-01 12:00:00,55.14332,0.0
2022-02-01 12:15:00,52.46753,0.0
2022-02-01 12:30:00,53.54111,0.0
2022-02-01 12:45:00,50.52846,0.0
2022-02-01 13:00:00,51.16948,0.0
2022-02-01 13:15:00,49.28104,0.0
2022-02-01 13:30:00,49.54564,0.0
2022-02-01 13:45:00,48.87754,0.0
2022-02-01 14:00:00,47.60773,0.0
2022-02-01 14:15:00,46.83519,0.0
2022-02-01 14:30:00,45.3404,0.0
2022-02-01 14:45:00,47.55473,0.0
2022-02-01 15:00:00,46.41676,0.0
2022-02-01 15:15:00,45.70731,0.0
2022-02-01 15:30:00,44.45004,0.0
2022-02-01 15:45:00,47.44008,0.0
2022-02-01 16:00:00,47.32475,0.0
2022-02-01 16:15:00,47.3313,0.0
2022-02-01 16:30:00,47.9803,0.0
2022-02-01 16:45:00,50.52872,0.0
2022-02-01 17:00:00,51.64224,0.0
2022-02-01 17:15:00,52.4206,0.0
2022-02-01 17:30:00,53.57738,0.0
2022-02-01 17:45:00,53.56651,0.0
2022-02-01 18:00:00,54.73046,0.0
2022-02-01 18:15:00,56.40155,0.0
2022-02-01 18:30:00,58.24402,0.0
2022-02-01 18:45:00,59.54995,0.0
2022-02-01 19:00:00,59.22926,0.0
2022-02-01 19:15:00,58.68093,0.0
2022-02-01 19:30:00,57.66901,0.0
2022-02-01 19:45:00,57.15925,0.0
2022-02-01 20:00:00,57.28772,0.0
2022-02-01 20:15:00,58.05962,0.0
2022-02-01 20:30:00,58.63774,0.0
2022-02-01 20:45:00,58.30972,0.0
2022-02-01 21:00:00,59.02633,0.0
2022-02-01 21:15:00,59.41114,0.0
2022-02-01 21:30:00,58.82825,0.0
2022-02-01 21:45:00,60.04117,0.0
2022-02-01 22:00:00,57.79237,0.0
2022-02-01 22:15:00,59.95,0.0
2022-02-01 22:30:00,60.78934,0.0
2022-02-01 22:45:00,62.36729,0.0
2022-02-01 23:00:00,60.66362,0.0
2022-02-01 23:15:00,60.84216,0.0
2022-02-01 23:30:00,61.35954,0.0
2022-02-01 23:45:00,61.02615,0.0
2022-02-02 00:00:00,62.66455,0.0
2022-02-02 00:15:00,62.53469,0.0
2022-02-02 00:30:00,64.36778,0.0
2022-02-02 00:45:00,68.3869,0.0
2022-02-02 01:00:00,72.39649,0.0
2022-02-02 01:15:00,77.76564,0.0
2022-02-02 01:30:00,82.25134,0.0
2022-02-02 01:45:00,84.06707,0.0
2022-02-02 02:00:00,86.67912,0.0
2022-02-02 02:15:00,89.41613,0.0
2022-02-02 02:30:00,90.59297,0.0
2022-02-02 02:45:00,91.41806,0.0
2022-02-02 03:00:00,92.52302,0.0
2022-02-02 03:15:00,93.28111,0.0
2022-02-02 03:30:00,94.12079,0.0
2022-02-02 03:45:00,94.69514,0.0
2022-02-02 04:00:00,95.08883,0.0
2022-02-02 04:15:00,94.62539,0.0
2022-02-02 04:30:00,91.86693,0.0
2022-02-02 04:45:00,89.84267,0.0
2022-02-02 05:00:00,87.82849,0.0
2022-02-02 05:15:00,85.75494,0.0
2022-02-02 05:30:00,83.22211,0.0
2022-02-02 05:45:00,80.43046,0.0
2022-02-02 06:00:00,81.0704,0.0
2022-02-02 06:15:00,80.21313,0.0
2022-02-02 06:30:00,80.35873,0.0
